"DATELASTUPDATED","DEFINITION","IDENTIFIER","REFERENCEURL","TITLE","VOCABULARYID"
"2025-04-09 08:03:19.477","","7312","","AMUSEMENT PARKS","24"
"2025-04-09 08:03:19.453","","7300","","AMUSEMENTS (5 PER CENT)","24"
"2025-04-09 08:03:17.037","","2194","","ANIMAL AND MARINE FATS AND OILS","24"
"2025-04-09 08:03:19.637","","8222","","ANIMAL HOSPITAL SERVICES","24"
"2025-04-09 08:03:19.633","","8220","","ANIMAL SERVICES","24"
"2025-04-09 08:03:18.653","","5931","","ANTIQUES","24"
"2025-04-09 08:03:18.65","","5930","","ANTIQUES AND SECOND HAND MERCHANDISE","24"
"2025-04-09 08:03:16.887","","1190","","APARTMENT HOUSES","24"
"2025-04-09 08:03:17.073","","2300","","APPAREL AND OTHER FINISHED PRODUCTS(FABRICS,LEATHER,SIMILAR MATERIALS)","24"
"2025-04-09 08:03:18.903","","6250","","APPAREL AND SHOE ALTERATION AND REPAIR","24"
"2025-04-09 08:03:18.253","","5132","","APPAREL, HOSIERY, LINGERIE AND ACCESSORIES","24"
"2025-04-09 08:03:18.58","","5721","","APPLIANCE PARTS","24"
"2025-04-09 08:03:18.577","","5720","","APPLIANCES","24"
"2025-04-09 08:03:19.39","","7122","","AQUARIUMS","24"
"2025-04-09 08:03:19.437","","7222","","ARENAS AND FIELD HOUSES","24"
"2025-04-09 08:03:19.1","","6495","","ARMATURE REWINDING SERVICES","24"
"2025-04-09 08:03:19.303","","6834","","ART AND MUSIC SCHOOLS","24"
"2025-04-09 08:03:19.38","","7113","","ART GALLERIES","24"
"2025-04-09 08:03:19.167","","6595","","ART STUDIOS","24"
"2025-04-09 08:03:17.07","","2295","","ARTIFICIAL LEATHER","24"
"2025-04-09 08:03:19.34","","6951","","AUCTION CRIER","24"
"2025-04-09 08:03:19.337","","6950","","AUCTIONEERS","24"
"2025-04-09 08:03:19.443","","7231","","AUDITORIUMS","24"
"2025-04-09 08:03:18.043","","4620","","AUTO PARKING GARAGES","24"
"2025-04-09 08:03:18.047","","4630","","AUTO PARKING LOTS-IMPROVED","24"
"2025-04-09 08:03:18.05","","4640","","AUTO PARKING LOTS-UNIMPROVED","24"
"2025-04-09 08:03:19.057","","6397","","AUTOMOBILE AND TRUCK RENTAL SERVICES","24"
"2025-04-09 08:03:18.473","","5511","","AUTOMOBILE DEALER","24"
"2025-04-09 08:03:18.037","","4600","","AUTOMOBILE PARKING","24"
"2025-04-09 08:03:19.067","","6411","","AUTOMOBILE REPAIR SERVICES","24"
"2025-04-09 08:03:18.477","","5512","","AUTOMOBILES (USED ONLY)","24"
"2025-04-09 08:03:18.227","","5112","","AUTOMOTIVE EQUIPMENT","24"
"2025-04-09 08:03:18.507","","5593","","AUTOMOTIVE PARTS AND ACCESSORIES","24"
"2025-04-09 08:03:18.493","","5590","","AUTOMOTIVE, MARINE, AIR CRAFT AND ACCESSORIES","24"
"2025-04-09 08:03:17.28","","2643","","BAGS","24"
"2025-04-09 08:03:19.137","","6521","","BAIL BONDS","24"
"2025-04-09 08:03:18.457","","5460","","BAKERIES","24"
"2025-04-09 08:03:18.457","","5461","","BAKERIES (MANUFACTURING)","24"
"2025-04-09 08:03:18.46","","5462","","BAKERIES (NON-MANUFACTURING)","24"
"2025-04-09 08:03:17.01","","2150","","BAKERY PRODUCTS","24"
"2025-04-09 08:03:18.857","","6221","","BANDS AND ORCHESTRAS","24"
"2025-04-09 08:03:18.743","","6112","","BANK RELATED FUNCTIONS","24"
"2025-04-09 08:03:18.733","","6110","","BANKING AND BANK RELATED FUNCTIONS","24"
"2025-04-09 08:03:18.737","","6111","","BANKING SERVICES","24"
"2025-04-09 08:03:18.603","","5813","","BANQUET HALLS","24"
"2025-04-09 08:03:18.887","","6236","","BARBER","24"
"2025-04-09 08:03:19.3","","6833","","BARBER AND BEAUTY SCHOOLS","24"
"2025-04-09 08:03:17.243","","2550","","BARBER AND BEAUTY SHOP FURNITURE AND FIXTURES","24"
"2025-04-09 08:03:18.877","","6232","","BARBER SHOPS","24"
"2025-04-09 08:03:18.883","","6235","","BEAUTICIAN","24"
"2025-04-09 08:03:18.867","","6230","","BEAUTY AND BARBER SHOPS","24"
"2025-04-09 08:03:18.873","","6231","","BEAUTY SHOPS","24"
"2025-04-09 08:03:18.92","","6261","","BED AND BREAKFAST","24"
"2025-04-09 08:03:18.363","","5195","","BEER, WINE AND DISTILLED ALCOHOLIC BEVERAGES","24"
"2025-04-09 08:03:17.023","","2180","","BEVERAGE MANUFACTURING","24"
"2025-04-09 08:03:17.807","","3450","","BICYCLE","24"
"2025-04-09 08:03:17.803","","3446","","BICYCLE AND BICYCLE PARTS MANUFACTURING","24"
"2025-04-09 08:03:18.67","","5952","","BICYCLES - RETAIL","24"
"2025-04-09 08:03:19.507","","7396","","BILLIARDS AND POOL","24"
"2025-04-09 08:03:17.373","","2831","","BIOLOGICAL PRODUCTS","24"
"2025-04-09 08:03:17.607","","3311","","BLAST FURNACES AND STEEL WORKS","24"
"2025-04-09 08:03:19.13","","6518","","BLOOD BANKS","24"
"2025-04-09 08:03:19.643","","8224","","BOARDING KENNELS","24"
"2025-04-09 08:03:19.6","","7442","","BOAT RENTALS","24"
"2025-04-09 08:03:17.823","","3495","","BOLTS, NUTS, SCREWS, RIVETS, AND WASHERS","24"
"2025-04-09 08:03:17.32","","2770","","BOOKBINDING AND RELATED INDUSTRIES","24"
"2025-04-09 08:03:18.66","","5941","","BOOKS","24"
"2025-04-09 08:03:18.657","","5940","","BOOKS AND STATIONERY","24"
"2025-04-09 08:03:17.307","","2730","","BOOKS-PUBLISHING AND PRINTING","24"
"2025-04-09 08:03:19.393","","7123","","BOTANICAL GARDENS","24"
"2025-04-09 08:03:18.687","","5983","","BOTTLED GAS","24"
"2025-04-09 08:03:17.033","","2185","","BOTTLING AND CANNING SOFT DRINKS","24"
"2025-04-09 08:03:19.537","","7417","","BOWLING","24"
"2025-04-09 08:03:17.533","","3241","","BRICK AND CLAY TILE","24"
"2025-04-09 08:03:18.637","","5906","","BRICK DEALER","24"
"2025-04-09 08:03:17.93","","3991","","BROOMS AND BRUSHES","24"
"2025-04-09 08:03:19.177","","6611","","BUILDING CONSTRUCTION - GENERAL CONTRACTOR SERVICES","24"
"2025-04-09 08:03:18.387","","5212","","BUILDING MATERIALS","24"
"2025-04-09 08:03:17.297","","2660","","BUILDING PAPER","24"
"2025-04-09 08:03:17.98","","4214","","BUS GARAGING AND EQUIPMENT MAINTENANCE","24"
"2025-04-09 08:03:17.98","","4216","","BUS PARKING","24"
"2025-04-09 08:03:17.973","","4211","","BUS PASSENGER TERMINALS, INTER-CITY","24"
"2025-04-09 08:03:17.977","","4212","","BUS PASSENGER TERMINALS, LOCAL","24"
"2025-04-09 08:03:17.973","","4210","","BUS TRANSPORTATION","24"
"2025-04-09 08:03:19.343","","6991","","BUSINESS ASSOCIATIONS","24"
"2025-04-09 08:03:17.313","","2750","","BUSINESS FORMS","24"
"2025-04-09 08:03:19.007","","6361","","BUSINESS INCUBATOR","24"
"2025-04-09 08:03:19.297","","6832","","BUSINESS SCHOOLS","24"
"2025-04-09 08:03:18.927","","6300","","BUSINESS SERVICES","24"
"2025-04-09 08:03:18.08","","4745","","CABLE T.V. INSTALLATION","24"
"2025-04-09 08:03:18.087","","4746","","CABLE T.V. INVESTIGATION","24"
"2025-04-09 08:03:18.703","","5994","","CAMERAS AND PHOTOGRAPHIC SUPPLIES","24"
"2025-04-09 08:03:19.607","","7491","","CAMPING AND PICNIC AREAS","24"
"2025-04-09 08:03:17.013","","2171","","CANDY AND OTHER CONFECTIONERY PRODUCTS","24"
"2025-04-09 08:03:16.997","","2130","","CANNING/PRESERVING FRUITS, PRESERVES, JELLIES,VEGETABLES,SEAFOODS","24"
"2025-04-09 08:03:17.143","","2394","","CANVAS PRODUCTS","24"
"2025-04-09 08:03:19.073","","6412","","CAR WASHES","24"
"2025-04-09 08:03:18.427","","5393","","CARNIVAL SUPPLIES","24"
"2025-04-09 08:03:19.2","","6625","","CARPENTRY AND WOOD FLOORING","24"
"2025-04-09 08:03:18.597","","5812","","CATERING SERVICE","24"
"2025-04-09 08:03:18.637","","5905","","CELL PHONE SALES","24"
"2025-04-09 08:03:17.517","","3230","","CEMENT","24"
"2025-04-09 08:03:18.897","","6242","","CEMETERIES","24"
"2025-04-09 08:03:18.15","","4852","","CENTRAL GARBAGE GRINDING STATIONS","24"
"2025-04-09 08:03:17.54","","3242","","CERAMIC WALL AND FLOOR TILE","24"
"2025-04-09 08:03:18.573","","5716","","CERAMICS & GREENWARE (FIGURINES)","24"
"2025-04-09 08:03:17.007","","2143","","CEREAL PREPARATIONS","24"
"2025-04-09 08:03:18.743","","6119","","CHECK CASHING SERVICE","24"
"2025-04-09 08:03:16.987","","2122","","CHEESE","24"
"2025-04-09 08:03:17.35","","2800","","CHEMICALS AND ALLIED PRODUCTS","24"
"2025-04-09 08:03:17.023","","2173","","CHEWING GUM","24"
"2025-04-09 08:03:18.537","","5640","","CHILDREN'S AND INFANT'S WEAR","24"
"2025-04-09 08:03:17.57","","3252","","CHINA TABLE AND KITCHEN ARTICLES","24"
"2025-04-09 08:03:18.573","","5714","","CHINA, GLASSWARE AND METAL WARE","24"
"2025-04-09 08:03:17.02","","2172","","CHOCOLATE AND COCOA PRODUCTS OTHER THAN CANDY","24"
"2025-04-09 08:03:19.323","","6911","","CHURCHES, SYNAGOGUES AND TEMPLES","24"
"2025-04-09 08:03:17.91","","3961","","CIGARETTES - MANUFACTURING","24"
"2025-04-09 08:03:17.913","","3962","","CIGARS - MANUFACTURING","24"
"2025-04-09 08:03:18.697","","5992","","CIGARS AND CIGARETTES -RETAIL","24"
"2025-04-09 08:03:19.357","","6994","","CIVIC, SOCIAL AND FRATERNAL ORGANIZATIONS","24"
"2025-04-09 08:03:19.227","","6723","","CIVIL DEFENSE","24"
"2025-04-09 08:03:19.127","","6517","","CLINICS - OUT-PATIENTS","24"
"2025-04-09 08:03:18.69","","5984","","COAL","24"
"2025-04-09 08:03:18.607","","5814","","COFFEE SHOP","24"
"2025-04-09 08:03:16.903","","1232","","COLLEGE DORMITORIES","24"
"2025-04-09 08:03:18.797","","6156","","COMBINATIONS OF REAL ESTATE, LOANS, INSURANCE AND LAW SERVICES","24"
"2025-04-09 08:03:16.757","","1019","","COMMERCIAL - AGRICULTURAL USE","24"
"2025-04-09 08:03:18.327","","5181","","COMMERCIAL AND INDUSTRIAL MACHINERY, EQUIPMENT, AND SUPPLIES","24"
"2025-04-09 08:03:18.947","","6314","","COMMERCIAL ART","24"
"2025-04-09 08:03:18.233","","5115","","COMMERCIAL CONDO","24"
"2025-04-09 08:03:17.31","","2740","","COMMERCIAL PRINTING","24"
"2025-04-09 08:03:18.763","","6132","","COMMODITY CONTRACTS BROKERS AND DEALERS","24"
"2025-04-09 08:03:18.05","","4700","","COMMUNICATION","24"
"2025-04-09 08:03:19.26","","6756","","COMMUNICATION CENTERS","24"
"2025-04-09 08:03:17.777","","3436","","COMMUNICATION EQUIPMENT","24"
"2025-04-09 08:03:18.153","","4853","","COMPOSTING PLANTS","24"
"2025-04-09 08:03:19.143","","6530","","COMPUTER SERVICES","24"
"2025-04-09 08:03:18.723","","5999","","COMPUTER SOFTWARE/HARDWARE SALES","24"
"2025-04-09 08:03:17.577","","3261","","CONCRETE BRICKS AND BLOCKS","24"
"2025-04-09 08:03:19.203","","6627","","CONCRETE SERVICES","24"
"2025-04-09 08:03:17.577","","3260","","CONCRETE, GYPSUM, AND PLASTER PRODUCTS","24"
"2025-04-09 08:03:17.583","","3263","","CONCRETE-READY MIX","24"
"2025-04-09 08:03:16.77","","1116","","CONDO GARAGE SPACE","24"
"2025-04-09 08:03:16.767","","1114","","CONDOMINIUM - 6 UNITS OR LESS PER BLDG","24"
"2025-04-09 08:03:16.767","","1115","","CONDOMINIUM - MORE THAN 6 UNITS PER BLDG","24"
"2025-04-09 08:03:18.27","","5144","","CONFECTIONERY PRODUCTS","24"
"2025-04-09 08:03:18.447","","5440","","CONFECTIONERY, CANDY, AND NUT","24"
"2025-04-09 08:03:17.723","","3423","","CONSTRUCTION MINING AND MATERIALS, HANDLING MACHINERY AND EQUIPMENT","24"
"2025-04-09 08:03:19.04","","6392","","CONSULTING SERVICES - BUSINESS AND MANAGEMENT","24"
"2025-04-09 08:03:18.96","","6320","","CONSUMER AND MERCANTILE CREDIT REPORT SERV ADJUSTMENT AND COLLECTION","24"
"2025-04-09 08:03:18.817","","6202","","CONSUMER DIRECT SERVICES","24"
"2025-04-09 08:03:19.17","","6600","","CONTRACT CONSTRUCTION SERVICES","24"
"2025-04-09 08:03:16.917","","1251","","CONVENTS","24"
"2025-04-09 08:03:17.273","","2640","","CONVERTED PAPER AND PAPERBOARD PRODUCTS","24"
"2025-04-09 08:03:18.217","","5064","","COPPER PROPERTY PEDDLER","24"
"2025-04-09 08:03:17.633","","3331","","COPPER REFINING AND SMELTING","24"
"2025-04-09 08:03:19.237","","6740","","CORRECTIONAL INSTITUTIONS","24"
"2025-04-09 08:03:19.31","","6837","","CORRESPONDENCE SCHOOLS","24"
"2025-04-09 08:03:17.903","","3950","","COSTUME JEWELRY, BUTTONS, AND MISCELLANEOUS NOTIONS","24"
"2025-04-09 08:03:18.28","","5151","","COTTON","24"
"2025-04-09 08:03:16.987","","2121","","CREAMERY BUTTER","24"
"2025-04-09 08:03:18.747","","6120","","CREDIT SERVICES (OTHER THAN BANKS)","24"
"2025-04-09 08:03:19.647","","8888","","CRITICAL DATA FILE","24"
"2025-04-09 08:03:19.37","","7110","","CULTURAL ACTIVITIES","24"
"2025-04-09 08:03:19.367","","7100","","CULTURAL ACTIVITIES AND NATURE EXHIBITIONS","24"
"2025-04-09 08:03:19.363","","7000","","CULTURAL, ENTERTAINMENT, AND RECREATIONAL","24"
"2025-04-09 08:03:18.193","","5045","","CURB MARKET","24"
"2025-04-09 08:03:17.107","","2391","","CURTAINS AND DRAPES MANUFACTURING","24"
"2025-04-09 08:03:18.547","","5670","","CUSTOM TAILORING","24"
"2025-04-09 08:03:17.597","","3270","","CUT STONE AND STONE PRODUCTS","24"
"2025-04-09 08:03:17.817","","3492","","CUTTLERY, HAND TOOLS AND GENERAL HARDWARE","24"
"2025-04-09 08:03:18.453","","5450","","DAIRY PRODUCTS - RETAIL","24"
"2025-04-09 08:03:18.263","","5142","","DAIRY PRODUCTS - WHOLESALE","24"
"2025-04-09 08:03:16.983","","2120","","DAIRY PRODUCTS MANUFACTURING","24"
"2025-04-09 08:03:19.427","","7215","","DANCE HALLS","24"
"2025-04-09 08:03:19.307","","6835","","DANCING SCHOOLS","24"
"2025-04-09 08:03:18.827","","6206","","DATING SERVICE - TELECOMMUNICATIONS","24"
"2025-04-09 08:03:18.823","","6205","","DATING/ESCORT SERVICES","24"
"2025-04-09 08:03:19.267","","6811","","DAY CARE CENTER","24"
"2025-04-09 08:03:19.247","","6752","","DEFENSE INSTALLATIONS","24"
"2025-04-09 08:03:17.997","","4225","","DELIVERY OR EXPRESS SERVICES","24"
"2025-04-09 08:03:19.21","","6630","","DEMOLITION SERVICES","24"
"2025-04-09 08:03:19.113","","6512","","DENTAL","24"
"2025-04-09 08:03:17.863","","3543","","DENTAL EQUIPMENT AND SUPPLIES","24"
"2025-04-09 08:03:19.123","","6515","","DENTAL LABS","24"
"2025-04-09 08:03:18.41","","5310","","DEPARTMENT STORES","24"
"2025-04-09 08:03:19.043","","6393","","DETECTIVE, PROTECTIVE AND GUARD SERVICES","24"
"2025-04-09 08:03:18.837","","6213","","DIAPER SERVICES","24"
"2025-04-09 08:03:18.967","","6331","","DIRECT MAIL ADVERTISING SERVICES","24"
"2025-04-09 08:03:18.42","","5350","","DIRECT SELLING ORGANIZATIONS","24"
"2025-04-09 08:03:17.03","","2184","","DISTILLING AND BLENDING LIQUORS","24"
"2025-04-09 08:03:18.957","","6319","","DISTRIBUTION","24"
"2025-04-09 08:03:19.64","","8223","","DOG DAYCARE","24"
"2025-04-09 08:03:19.643","","8225","","DOG GROOMING","24"
"2025-04-09 08:03:18.57","","5713","","DRAPERIES, CURTAINS AND UPHOLSTERY","24"
"2025-04-09 08:03:17.653","","3354","","DRAWING AND INSULATING OF NON-FERROUS WIRE","24"
"2025-04-09 08:03:18.613","","5820","","DRINKING PLACES","24"
"2025-04-09 08:03:19.42","","7213","","DRIVE-IN MOVIES","24"
"2025-04-09 08:03:19.307","","6836","","DRIVING SCHOOLS","24"
"2025-04-09 08:03:18.237","","5121","","DRUG AND DRUGGISTS' SUNDRIES","24"
"2025-04-09 08:03:17.37","","2830","","DRUG MANUFACTURING","24"
"2025-04-09 08:03:18.647","","5910","","DRUG STORES","24"
"2025-04-09 08:03:18.197","","5050","","DRUMMER/PEDDLER","24"
"2025-04-09 08:03:18.247","","5130","","DRY GOODS AND APPAREL","24"
"2025-04-09 08:03:18.253","","5131","","DRY GOODS AND NOTIONS","24"
"2025-04-09 08:03:18.963","","6330","","DUPLICATING, MAILING AND STENOGRAPHIC SERVICES","24"
"2025-04-09 08:03:18.987","","6340","","DWELLING AND BUILDING SERVICES","24"
"2025-04-09 08:03:17.287","","2645","","DYECUT PAPER, PAPERBOARD AND CARDBOARD","24"
"2025-04-09 08:03:17.063","","2230","","DYEING AND FINISHING OF TEXTILES","24"
"2025-04-09 08:03:18.593","","5810","","EATING PLACES (GROSS RECEIPTS)","24"
"2025-04-09 08:03:19.16","","6592","","EDUCATIONAL AND SCIENTIFIC RESEARCH SERVICES","24"
"2025-04-09 08:03:19.263","","6800","","EDUCATIONAL SERVICES","24"
"2025-04-09 08:03:18.467","","5491","","EGG AND POULTRY","24"
"2025-04-09 08:03:16.883","","1180","","EIGHT FAMILY UNIT","24"
"2025-04-09 08:03:18.097","","4812","","ELECTRIC GENERATION PLANTS","24"
"2025-04-09 08:03:18.097","","4810","","ELECTRIC UTILITY","24"
"2025-04-09 08:03:18.307","","5162","","ELECTRICAL APPLIANCES","24"
"2025-04-09 08:03:19.18","","6613","","ELECTRICAL CONTRACTOR","24"
"2025-04-09 08:03:18.3","","5160","","ELECTRICAL GOODS","24"
"2025-04-09 08:03:17.76","","3432","","ELECTRICAL INDUSTRIAL EQUIPMENT","24"
"2025-04-09 08:03:17.767","","3434","","ELECTRICAL LIGHTING AND WIRING EQUIPMENT","24"
"2025-04-09 08:03:17.747","","3430","","ELECTRICAL MACHINERY, EQUIPMENT, AND SUPPLIES","24"
"2025-04-09 08:03:19.087","","6491","","ELECTRICAL REPAIR","24"
"2025-04-09 08:03:19.193","","6623","","ELECTRICAL SERVICES","24"
"2025-04-09 08:03:18.397","","5240","","ELECTRICAL SUPPLIES","24"
"2025-04-09 08:03:18.303","","5161","","ELECTRICAL SUPPLIES AND EQUIPMENT WHOLESALE","24"
"2025-04-09 08:03:17.75","","3431","","ELECTRICAL TRANSMISSION AND DISTRIBUTION EQUIPMENT","24"
"2025-04-09 08:03:18.1","","4813","","ELECTRICITY REGULATING SUBSTATIONS","24"
"2025-04-09 08:03:17.777","","3437","","ELECTRONIC COMPONENTS AND ACCESSORIES","24"
"2025-04-09 08:03:18.9","","6245","","EMBALMERS","24"
"2025-04-09 08:03:19.0","","6360","","EMPLOYMENT SERVICES","24"
"2025-04-09 08:03:19.157","","6591","","ENGINEERING AND ARCHITECTURAL SERVICES","24"
"2025-04-09 08:03:17.84","","3510","","ENGINEERING, LABORATORY, AND SCIENTIFIC INSTRUMENTS AND EQUIPMENT","24"
"2025-04-09 08:03:17.713","","3421","","ENGINES AND TURBINES","24"
"2025-04-09 08:03:19.627","","7929","","ENTERTAINMENT","24"
"2025-04-09 08:03:19.413","","7210","","ENTERTAINMENT ASSEMBLY","24"
"2025-04-09 08:03:17.277","","2642","","ENVELOPES","24"
"2025-04-09 08:03:18.333","","5184","","EQUIPMENT AND SUPPLIES FOR SERVICE ESTABLISHMENTS","24"
"2025-04-09 08:03:19.047","","6394","","EQUIPMENT RENTAL AND LEASING SERVICES","24"
"2025-04-09 08:03:18.93","","6301","","EVENT PLANNER","24"
"2025-04-09 08:03:18.933","","6302","","EVENT SPACE","24"
"2025-04-09 08:03:19.217","","6710","","EXECUTIVE, LEGISLATIVE AND JUDICIAL FUNCTIONS","24"
"2025-04-09 08:03:19.447","","7232","","EXHIBITION HALLS","24"
"2025-04-09 08:03:19.513","","7405","","EXHIBITION SPORTS","24"
"2025-04-09 08:03:17.43","","2892","","EXPLOSIVES","24"
"2025-04-09 08:03:18.99","","6342","","EXTERMINATING SERVICES","24"
"2025-04-09 08:03:18.867","","6229","","EYE BROW & LASH DESIGNER","24"
"2025-04-09 08:03:17.667","","3400","","FABRICATED METAL PRODUCTS","24"
"2025-04-09 08:03:17.82","","3494","","FABRICATED STRUCTURAL METAL PRODUCTS","24"
"2025-04-09 08:03:17.83","","3498","","FABRICATED WIRE PRODUCTS","24"
"2025-04-09 08:03:19.473","","7311","","FAIRGROUNDS","24"
"2025-04-09 08:03:19.467","","7310","","FAIRGROUNDS AND AMUSEMENT PARKS","24"
"2025-04-09 08:03:19.33","","6921","","FAMILY CARE CENTERS","24"
"2025-04-09 08:03:18.54","","5650","","FAMILY CLOTHING","24"
"2025-04-09 08:03:18.673","","5960","","FARM AND GARDEN SUPPLIES","24"
"2025-04-09 08:03:18.403","","5252","","FARM EQUIPMENT","24"
"2025-04-09 08:03:18.327","","5182","","FARM MACHINERY AND EQUIPMENT","24"
"2025-04-09 08:03:17.717","","3422","","FARM MACHINERY AND EQUIPMENT","24"
"2025-04-09 08:03:18.28","","5150","","FARM PRODUCTS","24"
"2025-04-09 08:03:19.01","","6371","","FARM PRODUCTS WAREHOUSING AND STORAGE","24"
"2025-04-09 08:03:18.593","","5811","","FAST FOODS","24"
"2025-04-09 08:03:18.73","","6100","","FINANCE, INSURANCE, AND REAL ESTATE SERVICES","24"
"2025-04-09 08:03:18.803","","6170","","FINANCIAL AGENT","24"
"2025-04-09 08:03:19.4","","7143","","FIRE INSURANCE","24"
"2025-04-09 08:03:19.227","","6722","","FIRE PROTECTION","24"
"2025-04-09 08:03:18.64","","5907","","FIREARMS DEALER","24"
"2025-04-09 08:03:18.273","","5145","","FISH AND SEAFOOD - WHOLESALE","24"
"2025-04-09 08:03:18.443","","5422","","FISH AND SEAFOODS - RETAIL","24"
"2025-04-09 08:03:16.873","","1150","","FIVE FAMILY UNIT","24"
"2025-04-09 08:03:17.503","","3210","","FLAT GLASS","24"
"2025-04-09 08:03:17.033","","2186","","FLAVOR EXTRACTS AND FLAVORING SYRUPS","24"
"2025-04-09 08:03:17.067","","2240","","FLOOR COVERINGS - MANUFACTURING","24"
"2025-04-09 08:03:18.567","","5712","","FLOOR COVERINGS - RETAIL","24"
"2025-04-09 08:03:18.697","","5991","","FLORISTS","24"
"2025-04-09 08:03:17.003","","2141","","FLOUR, RICE, AND OTHER GRAIN MILL PRODUCTS","24"
"2025-04-09 08:03:16.97","","2100","","FOOD AND KINDRED PRODUCTS","24"
"2025-04-09 08:03:19.017","","6374","","FOOD LOCKERS","24"
"2025-04-09 08:03:18.257","","5133","","FOOTWEAR","24"
"2025-04-09 08:03:17.093","","2364","","FOOTWEAR MANUFACTURING","24"
"2025-04-09 08:03:16.867","","1140","","FOUR FAMILY UNIT","24"
"2025-04-09 08:03:16.897","","1221","","FRATERNITY AND SORORITY HOUSES","24"
"2025-04-09 08:03:18.177","","4921","","FREIGHT FORWARD SERVICES","24"
"2025-04-09 08:03:18.277","","5147","","FRESH FRUITS AND VEGETABLES","24"
"2025-04-09 08:03:16.997","","2137","","FROZEN FRUITS, FRUIT JUICES, AND VEGETABLES","24"
"2025-04-09 08:03:18.447","","5430","","FRUITS AND VEGETABLES","24"
"2025-04-09 08:03:18.683","","5980","","FUEL AND ICE","24"
"2025-04-09 08:03:18.683","","5982","","FUEL OIL","24"
"2025-04-09 08:03:18.997","","6345","","FUMIGATOR OPERATOR","24"
"2025-04-09 08:03:18.893","","6240","","FUNERAL HOMES, CREMATORY SERVICES AND CEMETERIES","24"
"2025-04-09 08:03:17.943","","3996","","FUR DRESSING AND DYEING","24"
"2025-04-09 08:03:17.103","","2370","","FUR GOODS","24"
"2025-04-09 08:03:18.907","","6252","","FUR REPAIR AND STORAGE","24"
"2025-04-09 08:03:18.56","","5711","","FURNITURE","24"
"2025-04-09 08:03:17.22","","2500","","FURNITURE AND FIXTURES","24"
"2025-04-09 08:03:18.37","","5197","","FURNITURE AND HOME FURNISHINGS","24"
"2025-04-09 08:03:18.557","","5710","","FURNITURE, HOME FURNISHINGS, AND EQUIPMENT","24"
"2025-04-09 08:03:18.55","","5680","","FURRIERS AND FUR APPAREL","24"
"2025-04-09 08:03:18.113","","4824","","GAS PRESSURE CONTROL STATIONS","24"
"2025-04-09 08:03:18.107","","4822","","GAS PRODUCTION PLANTS","24"
"2025-04-09 08:03:18.11","","4823","","GAS STORAGE AND DISTRIBUTION POINTS","24"
"2025-04-09 08:03:18.107","","4820","","GAS UTILITY","24"
"2025-04-09 08:03:18.493","","5530","","GASOLINE SERVICE STATIONS","24"
"2025-04-09 08:03:19.173","","6610","","GENERAL CONTRACT - CONSTRUCTION SERVICES","24"
"2025-04-09 08:03:17.733","","3426","","GENERAL INDUSTRIAL MACHINERY AND EQUIPMENT","24"
"2025-04-09 08:03:18.78","","6144","","GENERAL INSURANCE","24"
"2025-04-09 08:03:19.06","","6399","","GENERAL OFFICE BUILDING (BUSINESS)","24"
"2025-04-09 08:03:19.627","","8000","","GENERAL SERVICES","24"
"2025-04-09 08:03:18.427","","5392","","GENERAL STORES","24"
